id,last_evaluation,number_project,average_monthly_hours,time_spend_company,Work_accident,package,promotion_last_5years,division,salary,satisfaction_level
10869,0.72,4,159.41,2,0,c,0,hr,medium,0.875
2751,0.86,3,192,3,1,a,0,support,medium,0.784
579,0.55,2,160.56,3,0,b,0,technical,high,0.388
8898,0.63,4,239.17,2,0,a,0,technical,low,0.741
14793,0.86,5,242.12,5,0,d,0,support,medium,0.743
8601,0.88,4,275.2,3,0,e,0,support,low,0.551
955,0.92,6,262.45,5,1,b,0,technical,low,0.098
12573,0.47,2,147.92,3,0,d,0,technical,medium,0.362
7068,0.67,5,116.67,5,1,e,0,technical,high,0.322
3036,0.78,3,145.99,3,0,c,0,technical,high,0.702
9479,0.86,3,259.38,4,0,e,0,sales,low,0.973
10277,0.85,5,217.33,3,1,a,0,support,medium,0.868
4519,0.45,2,123.65,3,0,a,0,sales,low,0.44
6166,0.74,2,179.21,3,0,c,0,management,medium,0.859
11870,0.71,5,274.06,3,0,e,0,support,medium,0.863
4523,0.81,5,216.25,3,0,a,0,sales,low,0.69
1553,0.81,5,219.61,6,0,d,0,sales,medium,0.826
8211,0.8,4,248.26,3,0,a,0,technical,low,0.853
5658,0.55,3,163.19,3,0,e,0,sales,low,0.75
14133,0.45,3,260.9,8,0,e,0,sales,low,0.912
5724,0.6,4,199.94,4,0,a,0,RandD,low,0.654
12961,0.63,2,146.37,2,0,a,0,product_mng,low,0.407
1489,0.46,2,160.14,3,0,d,0,technical,low,0.41
11951,0.69,4,221.48,4,0,e,0,sales,medium,0.716
14572,0.89,4,263.36,5,0,b,0,support,low,0.76
5677,0.57,5,182.02,6,0,c,0,accounting,medium,0.197
2859,0.78,3,236.09,2,0,a,0,hr,low,0.549
587,0.83,2,213.24,3,0,b,0,support,low,0.794
4503,0.97,5,175.56,3,1,a,1,RandD,medium,0.947
14843,0.89,6,261.11,5,0,b,0,sales,low,0.113
4501,0.6,3,138.21,3,0,c,1,RandD,medium,0.431
4953,0.53,3,239.14,2,0,a,0,product_mng,low,0.912
4056,0.72,3,146.96,2,0,e,0,sales,low,0.449
6519,0.76,3,159.62,3,0,a,0,hr,medium,0.912
7860,0.73,4,140.35,4,0,a,0,marketing,low,0.972
11455,0.48,4,178.72,3,0,a,0,marketing,low,0.631
12013,0.55,2,148.42,3,0,b,0,sales,low,0.402
9293,0.71,4,161.16,2,1,c,0,technical,medium,0.677
8397,0.56,4,254.64,2,0,a,0,marketing,low,0.749
13040,0.51,3,275.35,2,1,e,0,product_mng,medium,0.536
13191,0.59,4,272.17,2,0,a,0,IT,high,0.767
1079,0.94,5,268.97,6,0,d,0,sales,medium,0.866
10268,0.67,4,255.86,3,0,c,0,technical,low,0.668
2249,0.48,4,204.78,3,0,c,0,technical,medium,0.896
2899,0.6,3,166.8,2,0,c,0,RandD,low,0.973
10363,0.54,3,150.22,3,0,e,0,technical,low,0.803
10209,0.81,4,263.04,3,0,c,0,technical,high,0.502
8026,0.74,4,213.89,3,0,c,0,sales,medium,0.924
4680,0.49,5,197.03,3,0,a,0,sales,low,0.551
4516,0.49,5,166.94,6,0,c,0,sales,low,0.895
54,0.92,7,306.73,4,0,b,0,support,low,0.095
7655,0.48,4,158.1,4,1,e,0,sales,medium,0.208
5261,0.84,2,188.06,2,0,a,0,RandD,low,0.605
12434,0.84,6,311.88,4,0,d,0,support,low,0.099
256,0.82,6,265.91,4,1,b,0,sales,medium,0.102
11489,0.95,5,157.36,7,1,c,0,management,medium,0.594
2770,0.91,4,274.63,2,1,e,0,sales,low,0.549
1677,0.54,2,148.69,3,0,b,0,RandD,low,0.389
13493,0.42,2,103.93,8,0,e,0,marketing,medium,0.61
7455,0.9,5,148.19,3,1,c,0,support,high,0.789
1567,0.48,2,132.72,3,0,d,0,technical,low,0.408
8928,0.86,4,139.22,2,1,a,0,RandD,high,0.568
8465,0.49,3,267.56,2,0,c,0,product_mng,medium,0.833
7982,0.45,5,130.23,6,0,a,0,support,low,0.785
11557,0.55,3,155.59,8,1,c,0,sales,medium,0.966
10530,0.9,4,233.06,3,0,e,0,RandD,low,0.808
1586,0.86,5,236.48,6,0,d,0,technical,medium,0.768
10707,0.55,3,226.84,4,1,c,0,sales,medium,0.962
1502,0.83,5,271.36,5,0,b,0,support,low,0.101
9409,0.97,4,266.44,3,0,a,0,sales,low,0.631
11746,0.48,3,247.89,10,0,e,0,sales,medium,0.67
3252,0.67,3,183.14,3,0,a,0,support,medium,0.943
11436,0.7,5,250.23,3,1,e,0,sales,medium,0.769
1466,0.82,6,263.49,4,1,d,0,sales,medium,0.106
9773,0.73,4,235.1,3,0,a,0,accounting,medium,0.828
12875,0.72,3,170.5,2,1,e,0,support,medium,0.374
5495,0.56,3,187.97,3,0,a,0,RandD,medium,0.982
5095,0.88,4,156.17,3,1,a,0,technical,high,0.738
14225,0.56,2,137.33,3,0,b,0,sales,low,0.356
4818,0.42,3,185.42,2,0,e,0,sales,medium,0.514
4671,0.64,3,102.35,2,1,e,0,sales,medium,0.547
9794,0.54,4,103.84,3,0,c,0,sales,low,0.778
3006,0.85,3,154.45,4,0,a,0,accounting,low,0.835
14070,0.57,4,169.64,2,0,a,0,sales,low,0.51
6913,0.48,4,145.24,3,1,e,0,technical,high,0.241
3682,0.52,4,152.54,3,1,c,0,sales,low,0.859
13356,0.94,3,156.23,3,1,a,0,support,low,0.564
12873,0.66,4,222.47,3,0,a,0,support,medium,0.79
3264,0.79,4,211.88,2,0,c,0,technical,medium,0.58
14728,0.87,7,307.08,4,0,b,0,technical,low,0.087
10106,0.74,4,157.76,4,0,a,0,accounting,low,0.638
2891,0.58,5,235.79,2,0,c,0,product_mng,low,0.295
5607,0.38,2,231.35,3,1,a,0,hr,low,0.247
10783,0.6,4,205.51,3,0,a,0,sales,medium,0.778
6134,0.8,4,195.79,2,0,c,0,accounting,medium,0.653
3739,0.5,3,150.26,4,0,a,0,sales,medium,0.497
13228,0.88,5,235.34,4,1,c,0,sales,medium,0.723
4796,0.91,5,206.3,2,0,e,0,IT,low,0.696
12141,0.53,2,155.99,3,0,b,0,IT,low,0.444
3764,0.69,4,157.71,3,0,a,0,sales,medium,0.805
12592,0.79,6,264.22,4,0,b,0,technical,low,0.106
1582,0.8,6,260.74,5,0,b,0,support,medium,0.107
11849,0.7,4,225.37,5,0,c,0,support,low,0.196
9980,0.62,4,201.53,3,0,a,0,support,medium,0.529
5773,0.61,6,129.26,5,0,a,0,support,low,0.447
5656,0.71,5,250.22,2,0,e,0,marketing,low,0.723
2387,0.78,5,216.54,2,0,e,0,sales,low,0.735
1809,0.95,5,272.09,5,0,b,0,support,low,0.708
8207,0.71,5,186.23,2,0,e,0,technical,low,0.998
1534,0.95,6,298.31,5,0,d,0,marketing,low,0.096
8356,0.44,6,284.64,2,0,c,0,technical,low,0.947
12663,0.79,6,256.43,5,0,b,0,support,low,0.094
2226,0.57,2,185.27,4,0,e,0,sales,low,0.703
3954,0.83,2,114.8,4,0,c,0,IT,low,0.705
4739,0.53,3,112.74,4,0,a,0,marketing,medium,0.475
11084,0.93,4,234.51,6,0,c,0,IT,medium,0.941
3319,0.72,3,189.94,3,1,c,0,technical,low,0.591
6875,0.74,5,182.18,4,1,c,0,management,medium,0.797
10585,0.77,3,202.33,6,1,e,0,support,medium,0.796
11738,0.72,4,223.07,3,0,c,0,sales,low,0.525
13939,0.81,4,258.06,7,0,e,1,sales,medium,0.949
11005,0.82,5,281.18,4,0,c,0,RandD,low,0.191
511,0.84,2,163.23,5,0,d,0,support,low,0.527
8962,0.63,4,234.05,2,0,a,0,hr,medium,0.977
14756,1,5,236.52,5,0,d,0,sales,medium,0.786
9947,0.67,3,259.83,2,0,a,0,sales,low,0.91
6625,0.5,4,147.64,2,0,e,0,IT,low,0.724
451,0.99,5,249.11,5,0,b,0,product_mng,medium,0.851
14328,0.83,6,252.73,4,0,d,0,technical,low,0.107
13245,0.52,2,148.74,2,1,c,0,sales,low,0.829
9207,0.72,5,140.29,3,0,e,0,support,low,0.775
13047,0.5,3,178.66,3,1,c,0,RandD,low,0.671
14721,0.48,2,146.03,3,0,d,0,support,low,0.44
8440,0.49,5,242.34,3,0,e,0,technical,high,0.549
12179,0.85,6,306.62,5,0,b,0,sales,medium,0.096
6433,0.57,3,181.05,2,0,a,0,sales,medium,0.697
14067,0.92,4,267.82,3,0,c,0,sales,low,0.812
4644,0.78,3,191.41,3,0,e,0,IT,medium,0.702
3802,0.87,3,208.46,2,0,c,0,IT,high,0.95
13519,0.94,3,248.29,2,0,a,0,hr,low,0.83
6477,0.54,3,286.77,6,0,c,0,product_mng,medium,0.721
258,0.88,5,233.3,5,1,d,0,accounting,medium,0.877
14846,0.56,2,128.54,3,0,d,0,sales,low,0.396
12143,0.47,2,153.91,3,0,b,0,product_mng,low,0.374
10415,0.65,4,220.03,3,0,e,0,technical,low,0.899
8126,0.74,3,194.18,2,0,c,0,technical,low,0.763
4840,0.85,4,214.63,2,0,a,0,hr,low,0.767
8457,0.9,4,211.96,3,0,a,0,management,medium,0.871
10020,0.58,4,96.26,3,0,e,0,sales,low,0.509
9716,0.74,2,207.13,3,1,c,0,sales,low,0.804
9816,0.48,3,215.03,4,0,c,0,technical,medium,0.916
6723,0.96,5,228.02,2,1,a,0,marketing,medium,0.649
6816,0.85,5,154.43,2,0,e,0,sales,low,0.745
10837,0.67,4,252.11,3,0,c,0,RandD,low,0.862
5107,0.59,3,184.75,2,0,e,0,RandD,medium,0.556
14922,0.86,6,289.11,4,0,b,0,support,low,0.111
14310,0.99,5,221.69,6,0,b,0,sales,medium,0.905
1758,0.51,2,149.85,3,0,b,0,accounting,low,0.461
207,0.87,4,230.15,5,0,d,0,support,low,0.783
4309,0.71,5,181.41,2,1,a,0,hr,medium,0.885
5162,0.65,5,187.76,4,0,a,0,support,medium,0.616
10580,0.49,4,276.3,4,0,e,0,support,low,0.815
9973,0.98,3,229.03,2,0,c,0,support,medium,0.708
10278,0.59,3,251.18,2,0,c,0,support,high,0.565
12988,0.63,5,140.08,4,0,c,1,sales,high,0.688
3550,0.78,5,262.69,2,1,a,0,technical,low,0.853
2052,0.54,4,154.23,3,0,e,0,product_mng,medium,0.696
4323,0.76,5,215.32,3,0,a,0,support,low,0.13
9028,0.57,5,163.83,3,0,a,0,sales,low,0.518
3756,0.81,4,211.64,3,0,e,0,sales,high,0.963
6666,0.58,4,184.82,2,0,a,0,sales,low,0.881
4989,0.98,3,158.94,2,0,e,0,accounting,low,0.695
3915,0.94,5,192.05,4,0,c,0,sales,low,0.893
1253,1,4,234.51,5,0,b,0,hr,low,0.85
10504,0.55,3,179.43,3,0,e,0,support,medium,0.59
8963,0.64,5,230.6,2,0,c,0,hr,medium,0.622
2372,0.74,3,162.79,3,1,c,0,marketing,medium,0.705
13005,0.8,4,192.68,3,0,c,0,hr,medium,0.66
10942,0.82,6,203.57,4,1,a,1,sales,medium,0.16
14108,0.97,3,174.12,3,0,e,0,sales,low,0.72
7936,0.7,4,209.19,3,1,a,0,marketing,low,0.507
3039,0.87,3,99.16,5,1,e,0,IT,medium,0.164
12781,0.95,4,232.77,5,0,d,0,sales,low,0.907
13265,0.54,4,179.52,2,0,e,0,support,medium,0.584
1240,0.51,2,132.95,3,0,d,0,sales,medium,0.432
11332,0.49,4,243.93,2,0,e,0,technical,low,0.734
14873,0.79,6,275.47,4,0,b,0,management,low,0.1
10681,0.49,4,180.37,2,0,a,0,RandD,low,0.813
6434,0.97,3,188.48,3,1,a,0,sales,medium,0.587
3799,0.67,3,166.22,3,0,a,0,IT,high,0.807
2159,0.72,3,134.15,2,0,e,0,sales,low,0.876
12874,0.76,4,244.76,2,0,e,0,support,medium,0.544
4721,0.62,3,186.4,2,0,a,0,IT,low,0.369
12952,0.89,4,259.35,2,0,a,0,technical,medium,0.619
3176,0.68,4,220.28,2,0,e,0,support,medium,0.563
12530,0.57,2,138.15,3,0,d,0,accounting,medium,0.397
2232,0.61,3,153.98,2,0,c,0,sales,low,0.557
1765,1,4,229.55,5,0,b,0,sales,low,0.9
5086,0.55,4,107.04,6,0,a,0,support,medium,0.701
13182,0.8,4,264.3,4,0,a,0,support,medium,0.805
3124,0.37,3,183.19,2,0,a,0,IT,low,0.485
7816,0.88,5,245.95,4,0,e,0,hr,low,0.304
818,0.78,3,149.21,2,0,b,0,support,medium,0.898
9257,0.94,2,269.49,4,1,c,0,sales,low,0.947
6346,0.58,3,186.34,3,0,a,0,sales,low,0.492
2074,0.66,3,112.28,4,0,c,0,sales,low,0.447
6582,0.68,5,246.84,2,0,e,0,sales,low,0.151
8388,0.78,3,218.97,4,0,a,0,product_mng,medium,0.591
14239,0.46,2,128.86,3,0,d,0,accounting,low,0.408
13592,0.72,3,120.63,2,0,a,0,sales,low,0.366
203,0.93,6,255.47,4,0,b,0,support,low,0.099
4597,0.68,3,156.78,3,1,a,0,sales,high,0.898
6040,0.47,5,252.09,3,0,a,0,sales,medium,0.571
12373,0.57,2,142.7,3,0,d,0,product_mng,medium,0.353
9461,0.91,3,265.1,4,1,c,0,marketing,medium,0.986
5950,0.63,5,283.97,6,0,e,0,RandD,low,0.224
8725,0.81,4,218.69,5,0,e,0,sales,medium,0.232
923,0.5,2,157.41,3,0,d,0,sales,medium,0.446
1049,0.89,5,234.34,6,0,d,0,technical,medium,0.742
10847,0.91,2,238.79,2,1,c,0,sales,low,0.926
8707,0.94,4,217.34,2,0,c,0,management,low,0.926
737,0.57,2,143.41,3,0,d,0,support,medium,0.43
1786,0.54,2,145.4,3,0,d,0,accounting,medium,0.423
6315,0.65,4,241.98,3,0,e,0,technical,low,0.746
14788,0.72,4,277.08,6,0,d,0,technical,medium,0.571
12899,0.74,4,262.93,3,0,e,0,technical,medium,0.755
13250,0.87,6,242.39,3,1,c,0,hr,low,0.312
10610,0.58,4,174.49,5,0,a,0,accounting,medium,0.199
1706,0.54,2,134.12,3,0,b,0,sales,medium,0.423
9912,0.66,3,205.66,2,0,c,0,IT,low,0.689
947,0.56,2,137.49,3,0,d,0,hr,low,0.397
10569,0.62,4,139.67,3,0,c,0,technical,low,0.844
9253,0.63,4,157.51,3,1,e,0,sales,low,0.596
1958,0.56,2,153.04,3,0,b,0,support,low,0.402
7667,0.55,3,224.23,4,1,e,0,technical,low,0.902
5205,0.78,3,166.19,3,1,c,0,sales,medium,0.83
2309,0.6,3,172.34,2,0,e,0,sales,low,0.624
4424,0.7,4,250.55,3,0,c,0,RandD,medium,0.88
10266,0.53,5,170,4,0,e,0,technical,high,0.539
14321,0.47,2,144.51,3,0,d,0,hr,medium,0.441
9920,0.82,3,202.35,3,0,e,0,accounting,high,0.549
2162,0.96,4,249,3,0,a,0,sales,low,0.537
6482,0.81,4,249.06,2,0,e,0,RandD,medium,0.481
379,0.93,4,231.99,5,0,d,0,hr,medium,0.767
676,0.82,6,270.75,4,0,d,0,product_mng,low,0.11
11800,0.91,2,245.44,2,1,a,1,sales,medium,0.668
4106,0.84,4,184.89,3,1,e,0,IT,medium,0.841
12954,0.72,3,254.27,3,0,e,0,technical,high,0.604
9962,0.38,3,257.27,3,0,a,0,technical,low,0.711
5951,0.79,5,164.65,6,0,a,0,RandD,low,0.144
1333,0.88,7,256.96,4,0,b,0,technical,low,0.116
6733,0.62,5,185.39,3,0,e,0,sales,low,0.954
8917,0.82,3,162.28,2,0,e,0,IT,high,0.593
6472,0.98,6,221.91,5,0,c,0,IT,low,0.138
9646,0.89,4,263.73,3,0,e,0,accounting,low,0.566
4960,0.49,3,180.86,3,1,e,0,marketing,low,0.496
11791,0.91,3,191.48,4,0,a,0,accounting,medium,0.979
4074,0.81,5,267.37,2,0,a,0,accounting,medium,0.673
